Index,model,dataset,image,image_path,img_url,true_artist,true_genre,true_style,true_school,true_technique,true_technique_macro,true_historical_period,true_wol_linear_vs_painterly,true_wol_plane_vs_recession,true_wol_closed_vs_open_form,true_wol_multiplicity_vs_unity,true_wol_absolute_vs_relative_clarity,pred_artist_1,pred_artist_2,pred_artist_3,pred_genre,pred_style,pred_technique,pred_school,pred_historical_period,pred_wol_linear_vs_painterly,pred_wol_plane_vs_recession,pred_wol_closed_vs_open_form,pred_wol_multiplicity_vs_unity,pred_wol_absolute_vs_relative_clarity,pred_short_description
1507,gpt,waga,512,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3081_st-michael-s-church-in-pereiaslav-khmelnytskyi-1845.jpg!Blog.jpg,,,,,,,,3.2,1.8,3.8,2.4,3.0,Taras Shevchenko,Vasily Tropinin,Ivan Aivazovsky,interior,Naturalism / Luminism / Tonalism,watercolour,russian,1801-1850,2,4,3,3,2,"A watercolor painting depicting a small church with a tall steeple and a red-roofed building behind it, set in a rural landscape with a cloudy sky. The scene is calm and detailed, showing architectural features and natural surroundings."
1508,gpt,waga,513,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3082_anemones-and-buttercups-1890.jpg!Blog.jpg,,,,,,,,3.8,3.0,2.6,2.4,1.6,Édouard Manet,Henri Fantin-Latour,Gustave Caillebotte,still-life,Realism,oil,french,1851-1900,2,3,2,3,2,"A detailed oil painting of a bouquet of colorful flowers arranged in a tall, slender glass vase set on a flat surface against a plain, muted background."
1509,gpt,waga,514,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3089_vasylkiv-fort-in-kyiv-1846.jpg!Blog.jpg,,,,,,,,4.6,3.8,4.8,4.2,4.2,Unknown,Unknown,Unknown,landscape,Realism,watercolour,russian,1851-1900,2,4,4,3,2,"A sepia-toned watercolor landscape depicting a fort near a river with trees on the left and hills on the right. A small boat is visible on the water, and architectural elements frame the scene, suggesting a quiet, naturalistic view of a historical site."
1510,gpt,waga,515,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3095_the-hermit-1670.jpg!Blog.jpg,,,,,,,,4.4,3.4,2.0,3.0,2.2,Georges de La Tour,Caravaggio,Jusepe de Ribera,religious,Baroque,oil,french,1601-1650,2,4,2,4,3,"An elderly monk or hermit is depicted in a dimly lit, rustic setting, leaning over a table with religious objects including a crucifix, skulls, and a book. The scene is framed by a tree and an arched stone structure, emphasizing contemplation and mortality."
1511,gpt,waga,516,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3097_after-the-storm-moonrise-1894.jpg!Blog.jpg,,,,,,,,4.2,3.4,4.4,5.0,4.4,Ivan Aivazovsky,J.M.W. Turner,Caspar David Friedrich,landscape,Romanticism,oil,russian,1801-1850,4,5,4,5,4,"A dramatic seascape at night with a bright full moon illuminating turbulent waves and dark clouds, creating a moody and atmospheric scene."
1512,gpt,waga,517,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/309_mischief-night-1986.jpg!Blog.jpg,,,,,,,,3.6,4.0,2.0,2.6,3.0,Salvador Dalí,René Magritte,Max Ernst,other,Surrealism / Metaphysical,oil,spanish,1851-1900,2,4,4,3,3,"A surreal composition featuring a wicker basket on wheels with a large apple inside, intertwined with dry, branch-like structures against a dark starry background, creating an eerie and dreamlike atmosphere."
1513,gpt,waga,518,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/30_the-redeemer-1502.jpg!Blog.jpg,,,,,,,,4.8,1.0,2.4,1.8,1.0,Antonello da Messina,Andrea Mantegna,Giovanni Bellini,religious,Renaissance,oil,italian,1451-1500,2,4,2,4,2,"A close-up frontal portrait of Christ with long hair and a beard, gazing slightly upward. The background is a soft blue sky, and the figure is rendered with delicate shading and smooth transitions, emphasizing a serene and spiritual expression."
1514,gpt,waga,519,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3105_the-teacher-1645.jpg!Blog.jpg,,,,,,,,4.6,3.6,4.2,3.8,4.4,Rembrandt van Rijn,Gerard Dou,Pieter de Hooch,genre,Baroque,oil,dutch,1601-1650,4,4,2,3,4,"A dimly lit interior scene showing an elderly man and several children engaged in reading or writing, illuminated by a soft light source, emphasizing textures and expressions in a warm, intimate setting."
1515,gpt,waga,520,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/310_the-defenders-1963.jpg,,,,,,,,2.4,3.4,2.8,1.0,4.4,Robert Rauschenberg,Jasper Johns,Andy Warhol,other,Pop / Dada / Postmodern,oil,american,1851-1900,1,3,4,2,2,"The artwork features a bright yellow background with cut-out photographic images of men in suits, one holding a gun and another lying on the ground. Large red text reading 'SOUL' and fragmented newspaper-like text elements are integrated into the composition, creating a collage effect with a strong graphic and pop art influence."
1516,gpt,waga,521,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3115_odalisque-1932.jpg!Blog.jpg,,,,,,,,3.8,2.4,3.2,1.6,1.0,Henri Matisse,Amedeo Modigliani,Egon Schiele,portrait,Modernism,pastel,french,1851-1900,4,3,3,4,3,"A reclining nude woman with a towel wrapped around her head lies on striped fabric. The figure is softly rendered with pastel, blending into a blue background, emphasizing relaxed posture and gentle contours."
1517,gpt,waga,522,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/311_adoration-of-the-knigs-1428.jpg!Blog.jpg,,,,,,,,3.0,2.8,3.6,3.2,4.2,Domenico Ghirlandaio,Benozzo Gozzoli,Filippo Lippi,religious,Renaissance,tempera,italian,1451-1500,1,4,2,3,2,"A religious scene depicting the Adoration of the Magi with the Virgin Mary holding the infant Jesus, surrounded by richly dressed figures and horses, set against a rocky landscape background."
1518,gpt,waga,523,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3121_black-sea-fleet-in-the-bay-of-feodosia-just-before-the-crimean-war-1890.jpg!Blog.jpg,,,,,,,,3.4,2.8,4.2,2.6,4.2,Ivan Aivazovsky,Montague Dawson,Claude Joseph Vernet,landscape,Naturalism / Luminism / Tonalism,oil,russian,1801-1850,4,5,4,5,3,"A seascape depicting a fleet of large sailing ships on calm waters near a coastal town, under a bright sky with soft clouds. The ships are detailed with billowing sails, and the composition emphasizes depth and atmospheric perspective."
1519,gpt,waga,524,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/312_madonna-enthroned-and-ten-saints-1522.jpg!Blog.jpg,,,,,,,,5.0,2.2,3.0,5.0,4.6,Nicolas Poussin,Charles Le Brun,Jacques-Louis David,religious,Neoclassicism / Classicism,oil,french,1601-1650,1,3,2,4,2,"A religious scene featuring a group of figures arranged in a classical architectural setting. Central is a woman holding a child, surrounded by men in robes, one of whom is partially nude and bound. The composition is balanced and detailed, with a strong emphasis on linearity and clarity."
1520,gpt,waga,525,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/312_mushroom-picker-1963.jpg!Blog.jpg,,,,,,,,3.6,3.0,3.0,4.6,4.0,Jacob Riis,Lewis Hine,Unknown,other,Realism,photograph,american,1851-1900,3,4,4,3,4,"A dimly lit scene showing a worker with a headlamp tending to rows of mushrooms growing on a dark surface, emphasizing the labor and environment in a mushroom farm or cave."
1521,gpt,waga,526,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3137_the-finding-of-moses-1650.jpg!Blog.jpg,,,,,,,,3.6,2.6,4.0,3.0,3.8,Jean-Auguste-Dominique Ingres,Jacques-Louis David,Anne-Louis Girodet,mythological,Neoclassicism / Classicism,oil,french,1801-1850,1,3,2,4,2,"A group of elegantly dressed women and children are gathered near a body of water with classical architecture and lush trees in the background. The figures are arranged in a balanced composition, with soft lighting and clear contours typical of neoclassical style."
1522,gpt,waga,527,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/313_wga-a-scene-from-the-beggar-s-opera-1729.jpg!Blog.jpg,,,,,,,,4.0,2.6,2.8,4.2,4.8,William Hogarth,Jean-Baptiste-Siméon Chardin,Giovanni Battista Tiepolo,genre,Baroque,oil,english,1701-1750,2,4,3,2,2,"An 18th-century interior scene depicting a group of elegantly dressed men and women engaged in social interaction within a dimly lit room with stone walls and barred windows, suggesting a theatrical or staged setting."
1523,gpt,waga,528,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3148_clouds-above-a-sea-calm-1889.jpg!Blog.jpg,,,,,,,,4.6,2.6,4.2,4.4,4.0,Ivan Aivazovsky,J.M.W. Turner,Caspar David Friedrich,landscape,Naturalism / Luminism / Tonalism,oil,russian,1801-1850,4,5,5,5,4,"A serene seascape featuring a vast expanse of calm water under a sky filled with large, soft clouds. A small boat with figures is visible near the lower left, emphasizing the scale and tranquility of the scene."
1524,gpt,waga,529,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3149_angel-holding-a-banner-1660.jpg!Blog.jpg,,,,,,,,4.0,2.4,2.4,2.8,1.2,Guido Reni,Pietro da Cortona,Guercino,religious,Baroque,drawing,italian,1601-1650,2,4,3,3,2,"A monochromatic drawing of an angelic figure holding a long staff or spear, with large wings spread behind. The figure is dressed in flowing robes and stands in a dynamic pose, suggesting movement. The background is minimal and sketchy, emphasizing the figure."
1525,gpt,waga,530,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3156_portrait-of-n-lanceray-mom-1912.jpg!Blog.jpg,,,,,,,,3.4,1.2,2.2,2.0,1.0,Vilhelm Hammershøi,Anders Zorn,Ilya Repin,portrait,Realism,oil,danish,1851-1900,2,4,2,4,2,"A realistic oil portrait of a woman seated with folded arms, wearing a gray jacket and a white blouse with a tie, set against a plain muted background. The figure is rendered with subtle tonal variations and soft lighting, emphasizing calm and introspective mood."
1526,gpt,waga,531,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/315_coronation-of-louis-the-pious-1460.jpg!Blog.jpg,,,,,,,,3.4,1.8,2.6,2.8,4.6,Jean Fouquet,Limbourg Brothers,Master of the Hours of Jeanne d'Evreux,historical,Medieval,tempera,french,1401-1450,1,3,2,2,1,"A medieval scene depicting a king kneeling before a crowned figure, surrounded by clerics and nobles in a richly decorated interior with fleur-de-lis motifs, adjacent to a detailed castle exterior."
1527,gpt,waga,532,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3166_chasuble-of-st-ildefonso-1660.jpg!Blog.jpg,,,,,,,,4.6,5.0,3.0,3.8,5.0,Bartolomé Esteban Murillo,Diego Velázquez,Francisco de Zurbarán,religious,Baroque,oil,spanish,1601-1650,4,4,3,4,4,"A religious Baroque painting depicting a group of figures, including angels and a saintly woman, gathered around a central figure holding a richly decorated cloth. Cherubs hover above in a cloudy sky, creating a divine atmosphere. The composition uses dramatic lighting and dynamic poses typical of Spanish Baroque art."
1528,gpt,waga,533,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3184_flight-into-egypt-1660.jpg!Blog.jpg,,,,,,,,4.0,3.4,3.6,4.2,4.0,Bartolomé Esteban Murillo,Francisco de Zurbarán,José de Ribera,religious,Baroque,oil,spanish,1651-1700,4,4,3,4,4,"A religious Baroque painting depicting the Holy Family with Mary holding the infant Jesus, Joseph standing nearby, and two cherubs flying above. The figures are illuminated against a dark, cloudy background, with a donkey present, emphasizing a humble setting."
1529,gpt,waga,534,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3193_jesus-among-doctors-1630.jpg!Blog.jpg,,,,,,,,4.6,3.4,4.4,4.6,3.8,Caravaggio,Artemisia Gentileschi,Orazio Gentileschi,religious,Baroque,oil,italian,1601-1650,4,5,2,4,4,"A dark, dramatic scene with strong chiaroscuro showing a group of men, one reading a book, and a figure in red raising a hand, likely depicting a biblical or religious moment."
1530,gpt,waga,535,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/319_coronation-of-pepin-the-short-in-laon-1460.jpg!Blog.jpg,,,,,,,,3.0,2.8,3.2,4.0,4.4,Unknown,Unknown,Unknown,historical,Medieval,tempera,other,1401-1450,1,2,1,1,1,"The artwork depicts a medieval scene divided into two parts: on the left, armored soldiers with flags engage in battle near a hill with a castle; on the right, a religious or royal ceremony occurs inside a building, where a kneeling figure in blue robes is blessed by a group of clerics wearing miters."
1531,gpt,waga,536,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/31_jean-philippe-baratier-presented-by-minerva-german-scholar-1735.jpg!Blog.jpg,,,,,,,,3.0,2.2,2.4,2.8,2.4,William Hogarth,Jean-Baptiste-Siméon Chardin,Giovanni Battista Tiepolo,portrait,Academic / Traditional,engraving,english,1701-1750,1,3,2,2,1,"A detailed engraving depicting two figures, one in classical armor and helmet, the other a young man in 18th-century attire, seated beside a globe and telescope, suggesting themes of knowledge and exploration."
1532,gpt,waga,537,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3205_moses-and-the-water-from-the-rock-of-horeb-1670.jpg!Blog.jpg,,,,,,,,4.2,3.6,4.4,5.0,4.4,Nicolas Poussin,Claude Lorrain,Gerrit van Honthorst,historical,Baroque,oil,french,1601-1650,2,4,3,4,3,"A group of figures, including a man on horseback and several others engaged in various activities, is set against a dark, rocky background. The scene appears to depict a historical or biblical event with a warm, earthy palette and dramatic lighting typical of Baroque art."
1533,gpt,waga,538,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/320_carthage-1962.jpg,,,,,,,,3.4,1.4,1.4,1.6,2.8,Jean Arp,Joan Miró,Henry Moore,other,Abstract (large family),oil,french,1851-1900,4,1,2,5,2,"A bold abstract composition featuring a central black shape with six rounded protrusions extending symmetrically against a vivid red background, emphasizing organic form and color contrast."
1534,gpt,waga,539,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3215_tata-with-vegetables-1923.jpg!Blog.jpg,,,,,,,,2.2,1.8,3.6,1.4,2.2,Nicolae Grigorescu,Jean-Baptiste-Siméon Chardin,Anders Zorn,genre,Realism,oil,romanian,1851-1900,3,4,4,3,2,"A young girl in a white blouse is seated at a table with a basket, fish, radishes, potatoes, and green onions. She looks towards the viewer with a gentle expression, surrounded by rustic kitchen items, suggesting a domestic, everyday scene."
1535,gpt,waga,540,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3218_rebecca-and-eliezer-1650.jpg!Blog.jpg,,,,,,,,3.0,1.8,3.0,1.2,4.6,Bartolomé Esteban Murillo,Diego Velázquez,Giovanni Battista Tiepolo,genre,Baroque,oil,spanish,1601-1650,4,4,3,3,3,"A group of four women and one man are gathered around a well, with the man drinking from a jug. The women hold various vessels, suggesting a daily life scene. The background shows a distant group of people and a natural landscape under a cloudy sky."
1536,gpt,waga,541,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/322_magdalene-in-penitence-1635.jpg!Blog.jpg,,,,,,,,3.0,1.8,2.8,3.4,1.4,Guido Reni,Caravaggio,Artemisia Gentileschi,religious,Baroque,oil,italian,1601-1650,2,4,2,4,3,"A Baroque oil painting depicting a woman with long flowing hair and a red garment, looking upwards with a pensive, spiritual expression. The dark background contrasts with the illuminated figure, emphasizing her emotional intensity and religious devotion."
1537,gpt,waga,542,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3243_st-isidor-1655.jpg!Blog.jpg,,,,,,,,3.2,2.4,2.0,2.0,1.6,Diego Velázquez,Bartolomé Esteban Murillo,Francisco de Zurbarán,portrait,Baroque,oil,spanish,1601-1650,2,4,2,4,2,"A seated bishop or pope in white and gold robes holding a staff and a document with Latin text, set against a dark draped background, rendered with realistic detail and dramatic lighting."
1538,gpt,waga,543,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3256_the-annunciation-1680.jpg!Blog.jpg,,,,,,,,3.6,3.8,4.4,3.4,3.8,Bartolomé Esteban Murillo,Diego Velázquez,Francisco de Zurbarán,religious,Baroque,oil,spanish,1601-1650,4,4,3,4,4,"The painting depicts the Annunciation, with the Virgin Mary on the left and the angel Gabriel kneeling on the right. A dove, symbolizing the Holy Spirit, hovers above. Several cherubs are visible in the upper part of the composition, surrounded by a warm, glowing light. The scene is set indoors with a dark background, emphasizing the figures and the divine moment."
1539,gpt,waga,544,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3259_the-assumption-of-the-virgin-1670.jpg!Blog.jpg,,,,,,,,3.4,2.6,3.2,3.2,3.0,Bartolomé Esteban Murillo,Giovanni Battista Tiepolo,Peter Paul Rubens,religious,Baroque,oil,spanish,1651-1700,4,4,4,5,4,"A religious Baroque painting depicting a woman in white and blue robes ascending amidst clouds and cherubic angels, with a warm, glowing background emphasizing divine light and spiritual elevation."
1540,gpt,waga,545,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3271_st-sergius-the-buildert-1925.jpg!Blog.jpg,,,,,,,,2.6,3.0,4.6,1.4,3.6,Nicholas Roerich,Ivan Bilibin,Mikhail Nesterov,landscape,Symbolism / Intimism,oil,russian,1851-1900,2,4,4,4,3,"A winter landscape with snow-covered hills and tall, slender trees. A solitary figure dressed in dark robes is seen bending over a log, possibly engaged in a ritual or task. A small wooden chapel or shrine is visible in the background, with a bear sitting nearby, adding a mystical or symbolic element to the scene."
1541,gpt,waga,546,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3285_woman-with-mandolin-1922.jpg!Blog.jpg,,,,,,,,3.8,1.8,2.8,3.0,2.0,Henri Matisse,Raoul Dufy,Pierre Bonnard,portrait,Modernism,oil,french,1851-1900,3,4,4,4,3,"A woman stands indoors near a window overlooking a seaside scene with palm trees. She wears a yellow top and white skirt, holding a stringed instrument, with a calm and simplified style emphasizing color and form over detail."
1542,gpt,waga,547,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/328_nanny-s-boy-1799.jpg!Blog.jpg,,,,,,,,3.0,3.0,2.2,1.4,1.4,Francisco Goya,Honoré Daumier,James Gillray,genre,Romanticism,etching,spanish,1801-1850,1,2,1,2,1,"A monochrome etching depicting a figure in traditional dress bending over a table, holding a mask or face in one hand, with a dark, undefined background. The figure's posture and expression suggest a dramatic or theatrical moment."
1543,gpt,waga,548,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/329_neither-more-nor-less-1799.jpg!Blog.jpg,,,,,,,,2.4,1.6,2.4,2.8,3.2,Francisco Goya,Honoré Daumier,William Hogarth,other,Romanticism,etching,spanish,1801-1850,1,2,2,3,2,"A monochrome etching depicting a seated donkey with a human-like expression, facing a small monkey who appears to be writing or drawing on a surface. The background is dark and undefined, emphasizing the figures."
1544,gpt,waga,549,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/32_josiah-wedgwood-1795.jpg!Blog.jpg,,,,,,,,2.4,1.2,2.2,2.4,1.4,William Sharp,James Basire,Unknown,portrait,Academic / Traditional,engraving,english,1751-1800,1,2,1,1,1,"An engraved portrait of Josiah Wedgwood Esq. showing a bust-length figure in 18th-century attire, set against a dark oval background with detailed line work and clear linear definition."
1545,gpt,waga,550,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3304_vase-of-peonies-and-snowballs-1878.jpg!Blog.jpg,,,,,,,,3.6,2.8,2.6,2.4,1.8,Édouard Manet,Henri Fantin-Latour,Gustave Courbet,still-life,Realism,oil,french,1851-1900,2,3,2,3,2,"A still-life oil painting depicting a glass vase holding a bouquet of flowers, including pink and white blossoms, set against a plain brown background with some flowers lying on the surface below."
1546,gpt,waga,551,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/332_st-paul-1426.jpg!Blog.jpg,,,,,,,,4.0,2.2,1.4,2.0,1.2,Duccio di Buoninsegna,Cimabue,Giotto di Bondone,religious,Medieval,tempera,italian,1301-1350,1,2,1,1,1,"A religious figure, likely a saint or apostle, is depicted holding a long sword and a book. The figure is dressed in flowing robes and set within an arched niche, painted with a gold background typical of medieval religious iconography."
1547,gpt,waga,552,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/334_now-they-are-sitting-well-1799.jpg!Blog.jpg,,,,,,,,2.8,2.4,3.6,3.4,3.6,Francisco Goya,Honoré Daumier,James Gillray,genre,Romanticism,drawing,spanish,1801-1850,1,3,2,2,1,"A monochrome drawing depicting four figures, two of whom wear chairs on their heads. The figures are engaged in a playful or theatrical scene, with detailed facial expressions and clothing patterns, set against a plain background."
1548,gpt,waga,553,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3371_cupid-ordering-mercury-to-announce-his-power-to-the-universe-1647.jpg!Blog.jpg,,,,,,,,3.2,3.8,3.6,2.4,4.6,Giovanni Battista Tiepolo,Nicolas Poussin,Peter Paul Rubens,mythological,Baroque,fresco,italian,1701-1750,4,4,4,3,3,"A mythological scene depicting a winged figure flying towards three semi-nude figures seated on clouds, rendered with dynamic movement and dramatic use of light and shadow typical of Baroque frescoes."
1549,gpt,waga,554,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/338_adoration-of-the-child-with-saints-1465.jpg!Blog.jpg,,,,,,,,3.0,2.8,3.4,1.2,4.2,Fra Angelico,Domenico Ghirlandaio,Filippo Lippi,religious,Renaissance,tempera,italian,1451-1500,1,3,2,2,1,"A nativity scene depicting the infant Jesus lying on the ground with Mary and Joseph kneeling in prayer. A saintly figure holds a book with Latin text, and an angelic figure stands to the left. The background includes a stable and cherubic figures above, rendered with clear linear detail and balanced composition."
1550,gpt,waga,555,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3393_still-life-1665.jpg!Blog.jpg,,,,,,,,3.8,2.8,3.4,4.6,3.4,Willem Kalf,Pieter Claesz,Harmen Steenwijck,still-life,Baroque,oil,dutch,1651-1700,2,4,2,3,2,"A dark still-life composition featuring a reflective silver pitcher, a decorative bowl with citrus fruits including lemons and oranges, and a dark background emphasizing the contrast and texture of the objects."
1551,gpt,waga,556,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3395_still-life-with-a-late-ming-ginger-jar-1669.jpg!Blog.jpg,,,,,,,,4.2,2.6,2.2,3.6,3.8,Willem Kalf,Pieter Claesz,Harmen Steenwijck,still-life,Baroque,oil,dutch,1651-1700,2,4,2,3,2,"A dark, richly detailed still life featuring a blue and white porcelain jar, peeled citrus fruit, ornate glassware, and a richly patterned cloth draped over a table, all illuminated by a focused light source against a dark background."
1552,gpt,waga,557,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3398_still-life-with-an-aquamanile-fruit-and-a-nautilus-cup-1660.jpg!Blog.jpg,,,,,,,,3.4,3.6,2.6,3.2,3.2,Willem Kalf,Pieter Claesz,Harmen Steenwijck,still-life,Baroque,oil,dutch,1651-1700,2,4,2,3,2,"A detailed still-life composition featuring a blue and white porcelain ewer, a shell, a decorative bowl with fruit, and a richly patterned textile draped over a table, set against a dark background."
1553,gpt,waga,558,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3418_the-negro-page-1652.jpg!Blog.jpg,,,,,,,,3.4,2.8,4.4,3.0,3.6,George Stubbs,John Frederick Herring Sr.,Edwin Landseer,genre,Naturalism / Luminism / Tonalism,oil,english,1801-1850,2,4,4,3,2,"A detailed outdoor scene featuring several horses, dogs, and human figures near a body of water with a distant town and mountains. The composition emphasizes naturalistic lighting and realistic animal anatomy, with figures engaged in a calm, everyday moment."
1554,gpt,waga,559,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3446_trans-himalayas-view-from-saga-dzong-1928.jpg,,,,,,,,2.0,3.0,4.2,2.2,4.4,Georgia O'Keeffe,Arthur Dove,Marsden Hartley,landscape,Modernism,watercolour,american,1851-1900,2,4,4,5,4,"A minimalist watercolor landscape depicting a range of mountains with snow-capped peaks under a pale blue sky, with a flat, muted foreground in soft earthy tones."
1555,gpt,waga,560,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3455_fantasia-1940.jpg,,,,,,,,3.4,3.6,5.0,4.2,3.8,Paul Klee,Wassily Kandinsky,Joan Miró,other,Abstract (large family),oil,german,1851-1900,4,3,4,4,4,"An abstract composition featuring swirling, organic lines and shapes with a mix of muted and vibrant colors, suggesting figures and forms in a dynamic, fluid arrangement."
1556,gpt,waga,561,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/345_john-wilkes-1763.jpg!Blog.jpg,,,,,,,,2.6,2.0,1.8,1.6,1.4,William Hogarth,James Gillray,Thomas Rowlandson,portrait,Academic / Traditional,drawing,english,1751-1800,1,2,2,2,1,"A detailed black and white engraving of a seated man in 18th-century attire holding a cane with a bucket labeled 'LIBERTY' on top. He is seated on a chair next to a table with papers and books, one titled 'Declaration of Independence'. The background features a patterned wall."
1557,gpt,waga,562,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3464_arbutus-tree-1922.jpg,,,,,,,,3.8,4.8,4.0,4.4,4.2,Emil Nolde,Ernst Ludwig Kirchner,Karl Schmidt-Rottluff,landscape,Expressionism,oil,german,1851-1900,4,3,4,3,4,"A vibrant expressionist landscape depicting tall trees with thick, twisting branches and dense foliage. The brushwork is loose and painterly, with bold, contrasting colors emphasizing the natural forms against a bright sky."
1558,gpt,waga,563,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3469_strong-wind-1856.jpg!Blog.jpg,,,,,,,,4.6,3.6,4.4,4.0,4.2,Ivan Aivazovsky,J.M.W. Turner,Caspar David Friedrich,landscape,Romanticism,oil,russian,1801-1850,5,4,5,4,4,"A dramatic seascape depicting a ship struggling against turbulent waves under a stormy, cloud-filled sky, emphasizing the power of nature and human vulnerability."
1559,gpt,waga,564,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/347_saint-john-the-baptist-1637.jpg!Blog.jpg,,,,,,,,3.4,2.8,2.2,2.6,2.6,Guido Reni,Caravaggio,Bartolomé Esteban Murillo,religious,Baroque,oil,italian,1601-1650,3,4,3,4,3,"A half-nude young man, seated outdoors against a dark landscape, holds a staff topped with a cross. He gestures upward with his right hand, his body illuminated against a moody sky, suggesting a religious or spiritual theme."
1560,gpt,waga,565,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/348_marriage-1735.jpg!Blog.jpg,,,,,,,,4.0,2.8,3.8,3.2,3.6,William Hogarth,Jean-Baptiste-Siméon Chardin,Thomas Gainsborough,genre,Academic / Traditional,oil,english,1751-1800,2,4,3,2,2,"An 18th-century interior scene depicting a group of people, including a man reading from a book, a well-dressed couple, a child, and a woman attending to the child. The setting appears domestic with detailed furnishings and a window in the background, conveying a narrative moment in everyday life."
1561,gpt,waga,566,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/34_werl-altarpiece-1438.jpg!Blog.jpg,,,,,,,,2.2,2.4,2.0,2.8,4.4,Jan van Eyck,Rogier van der Weyden,Hans Memling,religious,Northern Renaissance,oil,flemish,1401-1450,1,4,2,3,1,"A diptych showing two interior scenes: on the left, a saintly figure in red robes holding a lamb and a kneeling monk; on the right, a woman in green reading by a fireplace. Both rooms have detailed architectural elements and windows revealing outdoor landscapes."
1562,gpt,waga,567,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3500_loreley-1942.jpg!Blog.jpg,,,,,,,,4.8,3.6,5.0,3.6,4.2,El Greco,Francisco de Goya,J.M.W. Turner,mythological,Romanticism,oil,spanish,1801-1850,4,4,5,3,4,"A turbulent seascape with mythological figures, including a crowned woman and a trident-wielding figure, amidst stormy skies and rough waters. The scene is dynamic and dramatic, with expressive brushwork and a vivid color palette."
1563,gpt,waga,568,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/3501_doctor-s-visit-1665.jpg!Blog.jpg,,,,,,,,3.0,1.8,4.2,3.0,4.0,Jan Steen,Gerard ter Borch,Pieter de Hooch,genre,Baroque,oil,dutch,1601-1650,2,4,3,2,2,"An interior scene depicting a group of people engaged in lively interaction. A man in black gestures towards a seated woman, while others observe or participate. The setting includes domestic objects and a painting on the wall, rendered with detailed textures and warm lighting typical of Dutch Baroque genre painting."
